============================================================
CCTV Stream Health Report (CI Resilient)
Generated: 2026-02-13T09:43:47.726681
============================================================

Overall Status: ⚠️ ISSUES DETECTED
Total Streams: 16885
Hard Failure Rate: 26.0% (Impacts CI Status)
Soft Failure Rate: 4.0% (Environmental/Timeout)
Threshold: 15.0%

----------------------------------------
Category Summary:
----------------------------------------
  HLS: 68/75 OK (90.7%)
  MP4: 0/75 OK (0.0%)
  UTIC_API: 75/75 OK (100.0%)
  Other: 67/75 OK (89.3%)

----------------------------------------
Issues Detected (90):
----------------------------------------
  [HLS] 울산시(덕신교)(저해상도): CONN_ERROR (None)
  [HLS] 완주군(삼례교)(저해상도): CONN_ERROR (None)
  [HLS] [SPATIC] 상암초교: FAIL (404)
  [HLS] 광주광역시(천교)(저해상도): CONN_ERROR (None)
  [HLS] 북부역사거리: FAIL (404)
  [HLS] 고령군(귀원교)(저해상도): CONN_ERROR (None)
  [HLS] 중문포구: FAIL (404)
  [MP4] 둔곡터널앞: FAIL (404)
  [MP4] 원촌삼거리: FAIL (404)
  [MP4] 큰마을네거리: FAIL (404)
  [MP4] 중촌네거리: FAIL (404)
  [MP4] 읍내삼거리: FAIL (404)
  [MP4] 당산교: FAIL (404)
  [MP4] 원동네거리: FAIL (404)
  [MP4] 대화영업소: FAIL (404)
  [MP4] 보문산공원오거리: FAIL (404)
  [MP4] 옥녀봉네거리: FAIL (404)
  [MP4] 금성골네거리: FAIL (404)
  [MP4] 불티구름다리: FAIL (404)
  [MP4] 평송네거리: FAIL (404)
  [MP4] 성모오거리: FAIL (404)
  [MP4] 대성동삼거리: FAIL (404)
  [MP4] 한남오거리: FAIL (404)
  [MP4] 한밭영업소: FAIL (404)
  [MP4] 용문역네거리: FAIL (404)
  [MP4] 가수원네거리: FAIL (404)
  [MP4] 유성IC삼거리: FAIL (404)
  [MP4] 계룡대교네거리: FAIL (404)
  [MP4] 관저네거리: FAIL (404)
  [MP4] 충대병원네거리: FAIL (404)
  [MP4] 원신흥네거리: FAIL (404)
  [MP4] 충렬사삼거리: FAIL (404)
  [MP4] 동부네거리: FAIL (404)
  [MP4] 덕명네거리: FAIL (404)
  [MP4] 도마네거리: FAIL (404)
  [MP4] 농수산오거리: FAIL (404)
  [MP4] 가장교오거리: FAIL (404)
  [MP4] 도룡삼거리: FAIL (404)
  [MP4] 지수체육공원: FAIL (404)
  [MP4] 과학공원네거리: FAIL (404)
  [MP4] 중앙로역네거리: FAIL (404)
  [MP4] 월드컵네거리: FAIL (404)
  [MP4] 대전일보네거리: FAIL (404)
  [MP4] 대화JC: FAIL (404)
  [MP4] 용전네거리: FAIL (404)
  [MP4] 엑스포지하차도: FAIL (404)
  [MP4] 대종로네거리: FAIL (404)
  [MP4] 대동역오거리: FAIL (404)
  [MP4] 중리네거리: FAIL (404)
  [MP4] 신탄진네거리: FAIL (404)
  [MP4] 도안네거리: FAIL (404)
  [MP4] 오정동행정복지센터오거리: FAIL (404)
  [MP4] 중구청네거리: FAIL (404)
  [MP4] 침신대네거리: FAIL (404)
  [MP4] 들말네거리: FAIL (404)
  [MP4] 삼성네거리: FAIL (404)
  [MP4] 갑천대교네거리: FAIL (404)
  [MP4] 모정네거리: FAIL (404)
  [MP4] 원골네거리: FAIL (404)
  [MP4] 유성생명과학고삼거리: FAIL (404)
  [MP4] 가장네거리: FAIL (404)
  [MP4] 삼천교네거리: FAIL (404)
  [MP4] 예술가의집네거리: FAIL (404)
  [MP4] 대고오거리: FAIL (404)
  [MP4] 오룡역네거리: FAIL (404)
  [MP4] 한밭대교네거리: FAIL (404)
  [MP4] 시알들네거리: FAIL (404)
  [MP4] 만년네거리: FAIL (404)
  [MP4] 구암교네거리: FAIL (404)
  [MP4] 부사오거리: FAIL (404)
  [MP4] 삼성동성당네거리: FAIL (404)
  [MP4] 성남네거리: FAIL (404)
  [MP4] 화암네거리: FAIL (404)
  [MP4] 장대네거리: FAIL (404)
  [MP4] 변동오거리: FAIL (404)
  [MP4] 진잠네거리: FAIL (404)
  [MP4] 충대정문오거리: FAIL (404)
  [MP4] 서대전네거리: FAIL (404)
  [MP4] 신구교네거리: FAIL (404)
  [MP4] 시청역네거리: FAIL (404)
  [MP4] 안골네거리: FAIL (404)
  [MP4] 삼막삼거리: FAIL (404)
  [Other] 연동교차로(애조로)동측#봉개＊: CONN_ERROR (None)
  [Other] 이도광장교차로: CONN_ERROR (None)
  [Other] 국립제주박물관교차로＠: CONN_ERROR (None)
  [Other] 효례교(동측)#서귀＊: CONN_ERROR (None)
  [Other] 오당빌레#제주＊: CONN_ERROR (None)
  [Other] 상모2교차로＊: CONN_ERROR (None)
  [Other] 삼달교차로＠: CONN_ERROR (None)
  [Other] 신제주입구교차로＠: CONN_ERROR (None)

============================================================
